Gene1,Gene2,Correlation
ENSG00000167588.13,ENSG00000174697.5,0.926442779997538
ENSG00000175445.17,ENSG00000120049.20,0.9261944256327113
ENSG00000167676.4,ENSG00000120049.20,0.9257722148439669
ENSG00000167676.4,ENSG00000287148.1,0.9254759629163891
ENSG00000186847.6,ENSG00000186081.12,0.9249423121201956
ENSG00000161649.13,ENSG00000135917.16,0.924892111929847
ENSG00000120049.20,ENSG00000053438.11,0.9247427363371598
ENSG00000167676.4,ENSG00000174697.5,0.9241820799061258
ENSG00000166819.12,ENSG00000174697.5,0.923971689869378
ENSG00000170345.10,ENSG00000120738.8,0.9239062569190845
ENSG00000211938.2,ENSG00000211660.3,0.9238596496856218
ENSG00000211949.3,ENSG00000211938.2,0.9236997790910365
ENSG00000170323.9,ENSG00000176194.18,0.9236298341263335
ENSG00000196616.14,ENSG00000287148.1,0.9234859583136669
ENSG00000091831.24,ENSG00000287914.1,0.9229159775872091
ENSG00000181092.10,ENSG00000287148.1,0.9222855579865562
ENSG00000211592.8,ENSG00000211677.2,0.9219107923063312
ENSG00000270550.1,ENSG00000211949.3,0.9212861626898746
ENSG00000175445.17,ENSG00000101938.15,0.9212739570853635
ENSG00000187288.12,ENSG00000004776.13,0.9209692864133897
ENSG00000196616.14,ENSG00000161649.13,0.9208985153881812
ENSG00000022267.19,ENSG00000120049.20,0.9205357400461428
ENSG00000211949.3,ENSG00000211592.8,0.9204616745667068
ENSG00000161649.13,ENSG00000004776.13,0.9202163016131745
ENSG00000022267.19,ENSG00000173641.18,0.9199566744400486
ENSG00000187288.12,ENSG00000101938.15,0.9188690411497619
ENSG00000166819.12,ENSG00000161649.13,0.9188112085992973
ENSG00000167588.13,ENSG00000004776.13,0.9186849327571771
ENSG00000187288.12,ENSG00000022267.19,0.9180526010289237
ENSG00000181092.10,ENSG00000120049.20,0.9176579792471643
ENSG00000184811.4,ENSG00000004776.13,0.9175126369237057
ENSG00000244437.1,ENSG00000211592.8,0.9172995881559428
ENSG00000170323.9,ENSG00000211445.12,0.9168718245135491
ENSG00000196616.14,ENSG00000079435.10,0.9165962508151911
ENSG00000224373.3,ENSG00000211651.3,0.9163707017833829
ENSG00000165269.13,ENSG00000022267.19,0.9155666735088225
ENSG00000211943.2,ENSG00000211949.3,0.9154733201276957
ENSG00000174697.5,ENSG00000173641.18,0.9154412311581946
ENSG00000168079.17,ENSG00000133800.9,0.9153862694465853
ENSG00000211598.2,ENSG00000211949.3,0.9153712127156362
ENSG00000120049.20,ENSG00000004776.13,0.9144932084330472
ENSG00000211949.3,ENSG00000244575.3,0.914241366134459
ENSG00000181092.10,ENSG00000211445.12,0.9142230418796337
ENSG00000287148.1,ENSG00000004776.13,0.9139197976549651
ENSG00000196616.14,ENSG00000120049.20,0.9137428840301006
ENSG00000101938.15,ENSG00000022267.19,0.9136199659963967
ENSG00000181092.10,ENSG00000101938.15,0.9130647349605685
ENSG00000022267.19,ENSG00000161649.13,0.9129608952313836
ENSG00000138207.14,ENSG00000135917.16,0.9129465716305105
ENSG00000184811.4,ENSG00000053438.11,0.9129160360783645
