Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,PAM50_subtype
0.0,0.0,0.0,0.38099584,0.9297463,0.15303978,0.0,0.0,0.02898515,0.07375372,1.9096166,0.0,0.0,0.0,0.5006873,0.0,0.0,0.0,2.2064106,0.0,0.054544725,0.0,0.0,0.0,0.23129925,0.0,0.0,3.2324932,0.0,0.8999719,0.4624016,1.2077094,LumB
1.3055214,1.2424755,0.84051955,0.0,0.0,0.0,0.6624851,0.0,0.0,1.364852,0.0,0.82236934,0.73474246,0.4379977,1.1447506,0.0,0.10808484,1.3183218,0.0,0.0,0.0,1.9157724,0.2469321,0.0,0.0,0.19737022,0.67412263,0.0,0.21402468,0.2992167,0.0,0.0,Basal
0.0,0.0,1.898177,0.0,0.0,2.1337633,0.0,0.77252674,0.6001777,0.0,0.0,0.97077143,0.0,0.7307042,1.2620494,1.2123139,1.960495,0.0,0.0,0.6304226,0.0,0.0,0.0,1.09863,0.0,2.4536989,0.0,0.0,0.0,0.0,0.0,0.0,Basal
0.0,0.4537721,0.10410095,0.05868511,0.6747142,0.5955775,0.6863465,0.0,0.0,0.27644247,0.4784261,0.0,0.0,0.0,0.71384895,0.0,0.0,0.042246133,0.99941254,0.0,0.0,0.0,0.0,0.29947457,0.0,0.66548884,0.0,0.10361815,0.0,0.41210684,0.070678666,0.0,LumA
0.0,0.0,0.0,0.0,0.0,2.3885243,0.0,0.053668045,1.3493112,0.0,0.0,0.0,0.031517237,0.0,0.0,1.4499857,0.0,0.0,0.26474264,0.9295706,0.0,0.0,0.0,0.0,0.0,0.0,1.7505294,0.8924434,0.0,0.0,1.0408677,0.0,LumA
0.0,0.0,0.0,0.0,0.0,2.0001452,0.09167418,0.2576572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058665723,0.4729202,0.0,0.038710296,0.16102394,0.0,0.0,0.0,0.0019725412,0.05454935,0.0,0.04672452,0.10119455,0.0,0.59561354,0.15510842,0.0,Unknown
0.0,0.47586048,0.0,1.0056076,0.26886016,0.17923468,0.5478426,0.0,0.0,0.0,1.3469778,0.0,0.32047844,0.0,0.0,0.3773541,0.0,0.18810728,0.3260478,0.0,0.40741706,0.0,0.35533494,1.2771386,0.36693433,0.0,0.0,0.23265101,0.0,0.37114936,0.43440467,0.9893746,LumB
0.1362381,2.803835,0.028284296,0.12706321,0.0,0.0,0.11215606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67654926,0.0,0.0,0.20626372,0.52916867,0.0,0.0,0.6787094,1.0892752,0.0,0.16139323,1.0280973,0.0,0.0,0.0,2.3090172,0.47384188,0.0,LumB
2.0464747,0.0,1.8835348,0.0,0.0,0.0,0.0,0.81460047,0.9672547,1.1632969,0.0,1.0747697,0.0,0.5069803,0.0,0.0,1.7745206,0.58050185,0.0,1.4925725,1.4659294,0.09876784,0.35316682,0.0,1.1961702,0.0,0.0,0.0,0.0,1.2178515,0.0,0.16156197,Basal
0.0,0.19740522,0.0,2.4485466,0.0,0.0,0.0,0.0,0.0,0.0,0.71115834,0.0,0.0,0.0,0.0,0.81818914,0.0,0.567314,0.6060413,0.0,0.0055909455,0.0,0.0,1.2662272,0.80021065,0.0,0.0,0.0,0.071743965,0.0,1.4848412,0.9427111,LumB
0.0,0.0,0.0,0.49339065,0.06676414,0.6388718,0.34754246,0.0,0.0,0.5337601,0.9509853,0.9241102,0.0,0.0,0.0,0.0,0.0,0.26980838,0.15756021,0.0,0.0,0.0,0.0,0.091926984,1.799128,1.2167028,0.0,1.1163307,0.0,0.0,0.0,0.48402494,LumB
2.0004349,0.0,0.0,0.0,0.0,0.0,0.0,1.5021956,0.0,0.0,0.0,0.0,0.0,0.5306702,0.0,2.1956663,1.5376432,0.8392808,0.0,1.3531148,2.6927125,0.03948413,0.48087925,0.97813463,0.68675816,0.0,0.21093795,0.0,0.0,0.0,0.0,0.88574356,Basal
0.0,0.0,1.7889458,0.0,0.0,3.0520961,0.0,1.1921905,1.3237435,0.0,0.0,0.18783392,0.0,0.69018245,0.46506265,2.3882964,1.7535497,0.0,0.0,1.1421826,0.0,0.0,0.0,1.5771868,0.0,1.4582384,0.0,0.023878258,0.13687249,0.0,0.0,0.0,LumA
0.0,0.08449096,0.0,0.2063158,0.0,0.0,1.030088,0.0,0.0,0.0,0.09303062,0.0,0.0,0.0,0.0,0.16955973,0.0,0.25668588,2.122193,0.0,0.0,0.0,0.0,0.71724266,1.7533014,1.905581,0.23999588,0.0,0.0,0.0,0.746184,0.0,Her2
0.0,0.0,0.0,0.0,0.0,0.23353818,0.0,0.0,0.0,0.0,0.0709549,0.0,0.87428546,0.0,0.0,0.5211508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13019493,0.9210485,1.5023725,0.22580512,0.0,0.0,2.2170446,0.0,LumA
2.3689303,0.03174576,1.830072,0.0,0.0,0.0,0.0,0.64259684,0.25246522,1.3352011,0.0,0.47493222,0.0,0.8266175,0.28238347,0.0,1.1097811,0.3079464,0.0,1.1654702,0.47882652,0.8763927,0.25902003,0.0,1.0186907,0.0,0.3194186,0.0,0.0,0.56081665,0.0,0.0,Basal
1.7678987,0.0,1.4104176,0.0,0.0,0.0,0.27517456,0.19810086,0.5493656,0.0,0.0,0.0,0.71334463,0.6048519,0.0,2.8863308,0.5711686,0.0,0.0,1.5236331,2.0695443,0.9808893,0.5653689,0.3749289,1.9454446,0.0,0.0,0.0,0.12443727,0.0,0.0,0.6025933,Basal
0.0,0.0,0.0,0.0,0.0,1.9422835,0.0,0.44230792,0.56677014,0.0,0.0,0.0,0.09251418,0.0,0.01655414,0.852525,0.29115814,0.0,0.35146204,0.6236534,0.0,0.0,0.0,0.02454783,0.0,0.0,1.121495,0.5901273,0.0,0.0,1.2586278,0.0,LumA
0.24503256,0.0,0.80544585,0.0,0.0,2.4857247,0.0,2.1285782,1.1370974,0.0,0.0,0.0,0.36226803,0.7406332,0.0,2.6471262,2.2888021,0.0,0.0,1.3350188,0.4891671,0.0,0.0,2.470562,0.0,0.0,0.0,0.0,0.33284438,0.0,0.0,0.0,LumA
0.0,0.0023948923,0.0,0.0,2.134908,0.0,0.0,0.0,0.06969652,1.1899846,0.655795,0.0,0.0,0.0,1.2156367,0.0,0.0,0.0,1.3682767,0.0,0.79511,0.0,0.0,0.0,0.0,0.0,0.0,2.95256,0.0,0.0,0.0,0.9719782,LumB
0.0,0.028200299,0.0,0.28305426,0.5658675,1.089151,0.15912695,0.0,0.0,0.0,0.31960294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0667412,0.0,0.15909311,0.0,0.41277236,0.0,0.0,0.0,0.16727462,1.5893534,0.0,0.3276701,0.4522957,0.02702374,LumB
0.0,0.8347951,0.0,0.08048946,0.1482762,0.9696863,0.0,0.0,0.31955096,0.0,0.0,0.0,0.0,0.0,0.050667502,0.0,0.06723453,0.0,0.14891742,0.0,0.0,0.0,0.0,0.0,0.0,0.367078,0.43666232,0.8341096,0.0,0.2116703,1.0259919,0.0,LumA
0.0,0.21834445,0.2152607,0.0,0.0,1.4446366,0.0,0.0,0.74322146,0.0,0.0,0.0,0.0,0.0,0.0,0.8757582,0.48229903,0.0,0.14863478,0.013183039,0.0,0.0,0.0,0.0,0.0,0.018246643,0.6258994,0.71670705,0.0,0.0,0.96516097,0.0,LumA
0.0,1.6311233,0.0,0.93463206,1.4354076,0.0,0.0,0.0,0.5489652,0.0,0.0,0.07627263,0.0,0.0,0.0,0.0,0.084952004,0.0,0.89542586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46995527,0.680104,0.0,0.0,2.5817819,0.0,LumB
0.0,1.2600952,0.0,1.5176023,0.0,0.0,0.0,0.0,0.0,0.44424796,0.0,0.0,1.0236815,0.9802328,0.0,0.0,0.0,0.5149643,0.0,0.0,0.0,1.5518367,0.08083698,0.65602505,0.0,0.119711205,0.0,0.0,0.0,0.13042352,1.1944554,0.0,Her2
